instrument,chord,fingering
ukulele,Ddim,"[1,2,1,5]"
ukulele,D#dim,"[2,3,2,0]"
ukulele,Edim,"[0,4,0,1]"
ukulele,Fdim,"[1,5,1,2]"
ukulele,F#dim,"[2,0,2,0]"
ukulele,Gdim,"[0,1,3,1]"
ukulele,G#dim,"[1,2,4,2]"
ukulele,Adim,"[2,3,4,3]"
ukulele,A#dim,"[3,1,0,1]"
ukulele,Bdim,"[4,2,1,2]"
baritone_ukulele,Cdim,"[1,5,1,2]"
baritone_ukulele,C#dim,"[2,0,2,0]"
baritone_ukulele,Ddim,"[0,1,3,1]"
baritone_ukulele,D#dim,"[1,2,4,2]"
baritone_ukulele,Edim,"[2,3,5,3]"
baritone_ukulele,Fdim,"[3,1,0,1]"
baritone_ukulele,F#dim,"[4,2,1,2]"
baritone_ukulele,Gdim,"[5,3,2,3]"
baritone_ukulele,G#dim,"[0,1,0,4]"
baritone_ukulele,Adim,"[1,2,1,5]"
baritone_ukulele,A#dim,"[2,3,2,0]"
baritone_ukulele,Bdim,"[0,4,0,1]"
guitar,Csus2,"[x,x,0,0,1,x]"
guitar,Csus4,"[x,x,3,0,1,1]"
guitar,C#sus2,"[x,x,1,1,2,x]"
guitar,C#sus4,"[x,x,4,1,2,x]"
guitar,Dsus2,"[x,x,0,2,3,0]"
guitar,Dsus4,"[x,x,0,2,3,3]"
guitar,D#sus2,"[x,x,1,3,4,1]"
guitar,D#sus4,"[x,x,1,3,4,4]"
guitar,Esus2,"[x,x,2,4,0,2]"
guitar,Esus4,"[x,x,2,2,0,x]"
guitar,Fsus2,"[x,x,3,0,1,x]"
guitar,Fsus4,"[x,x,3,3,1,x]"
guitar,F#sus2,"[x,x,4,1,2,x]"
guitar,F#sus4,"[x,x,4,4,2,x]"
guitar,Gsus2,"[x,0,0,0,x,x]"
guitar,Gsus4,"[x,x,0,0,1,x]"
guitar,G#sus2,"[x,x,1,3,4,4]"
guitar,G#sus4,"[x,x,1,1,2,x]"
guitar,Asus2,"[x,x,2,2,0,0]"
guitar,Asus4,"[x,x,0,2,3,0]"
guitar,A#sus2,"[x,x,3,3,1,x]"
guitar,A#sus4,"[x,x,1,3,4,1]"
guitar,Bsus2,"[x,x,4,4,2,x]"
guitar,Bsus4,"[x,x,2,4,0,2]"
ukulele,Csus2,"[0,2,3,3]"
ukulele,Csus4,"[0,0,1,3]"
ukulele,C#sus2,"[1,3,4,4]"
ukulele,C#sus4,"[1,1,2,4]"
ukulele,Dsus2,"[2,4,5,5]"
ukulele,Dsus4,"[2,2,3,0]"
ukulele,D#sus2,"[3,5,6,6]"
ukulele,D#sus4,"[3,3,4,1]"
ukulele,Esus2,"[2,4,5,2]"
ukulele,Esus4,"[2,4,0,2]"
ukulele,Fsus2,"[0,0,1,3]"
ukulele,Fsus4,"[3,0,1,1]"
ukulele,F#sus2,"[1,1,2,4]"
ukulele,F#sus4,"[4,1,2,2]"
ukulele,Gsus2,"[0,2,3,0]"
ukulele,Gsus4,"[0,2,3,3]"
ukulele,G#sus2,"[1,3,4,1]"
ukulele,G#sus4,"[1,3,4,4]"
ukulele,Asus2,"[2,4,0,0]"
ukulele,Asus4,"[2,2,0,0]"
ukulele,A#sus2,"[3,5,1,1]"
ukulele,A#sus4,"[3,3,1,1]"
ukulele,Bsus2,"[4,6,2,2]"
ukulele,Bsus4,"[4,4,2,2]"
baritone_ukulele,Csus2,"[0,0,1,3]"
baritone_ukulele,Csus4,"[4,0,1,1]"
baritone_ukulele,C#sus2,"[1,1,2,4]"
baritone_ukulele,C#sus4,"[4,1,2,2]"
baritone_ukulele,Dsus2,"[0,2,3,0]"
baritone_ukulele,Dsus4,"[0,2,3,3]"
baritone_ukulele,D#sus2,"[1,3,4,1]"
baritone_ukulele,D#sus4,"[1,3,4,4]"
baritone_ukulele,Esus2,"[2,4,0,2]"
baritone_ukulele,Esus4,"[2,2,0,0]"
baritone_ukulele,Fsus2,"[3,0,1,1]"
baritone_ukulele,Fsus4,"[3,3,1,1]"
baritone_ukulele,F#sus2,"[4,1,2,2]"
baritone_ukulele,F#sus4,"[4,4,2,2]"
baritone_ukulele,Gsus2,"[0,2,3,3]"
baritone_ukulele,Gsus4,"[0,0,1,3]"
baritone_ukulele,G#sus2,"[1,3,4,4]"
baritone_ukulele,G#sus4,"[1,1,2,4]"
baritone_ukulele,Asus2,"[2,2,0,0]"
baritone_ukulele,Asus4,"[0,2,3,0]"
baritone_ukulele,A#sus2,"[3,3,1,1]"
baritone_ukulele,A#sus4,"[1,3,4,1]"
baritone_ukulele,Bsus2,"[4,4,2,2]"
baritone_ukulele,Bsus4,"[2,4,0,2]"
guitar,Caug,"[x,x,2,1,1,0]"
guitar,C#aug,"[x,0,3,2,2,x]"
guitar,Daug,"[x,x,0,3,3,2]"
guitar,D#aug,"[x,x,1,0,0,x]"
guitar,Eaug,"[x,x,2,1,1,x]"
guitar,Faug,"[x,x,3,2,2,x]"
guitar,F#aug,"[x,x,0,3,3,1]"
guitar,Gaug,"[x,x,1,0,0,x]"
guitar,G#aug,"[x,x,2,1,1,0]"
guitar,Aaug,"[x,x,3,2,2,x]"
guitar,A#aug,"[x,x,0,3,3,2]"
guitar,Baug,"[x,x,1,0,0,x]"
ukulele,Caug,"[1,0,0,3]"
ukulele,C#aug,"[2,1,1,0]"
ukulele,Daug,"[3,2,2,1]"
ukulele,D#aug,"[0,3,3,2]"
ukulele,Eaug,"[1,0,0,3]"
ukulele,Faug,"[2,1,1,0]"
ukulele,F#aug,"[3,2,2,1]"
ukulele,Gaug,"[0,3,3,2]"
ukulele,G#aug,"[1,0,0,3]"
ukulele,Aaug,"[2,1,1,0]"
ukulele,A#aug,"[3,2,2,1]"
ukulele,Baug,"[0,3,3,2]"
baritone_ukulele,Caug,"[2,1,1,0]"
baritone_ukulele,C#aug,"[3,2,2,1]"
baritone_ukulele,Daug,"[0,3,3,2]"
baritone_ukulele,D#aug,"[1,0,0,3]"
baritone_ukulele,Eaug,"[2,1,1,0]"
baritone_ukulele,Faug,"[3,2,2,1]"
baritone_ukulele,F#aug,"[0,3,3,2]"
baritone_ukulele,Gaug,"[1,0,0,3]"
baritone_ukulele,G#aug,"[2,1,1,0]"
baritone_ukulele,Aaug,"[3,2,2,1]"
baritone_ukulele,A#aug,"[0,3,3,2]"
baritone_ukulele,Baug,"[1,0,0,3]"
baritone_ukulele,A#maj7,"[3,2,3,1]"
guitar,A#maj7,"[1,1,3,2,3,1]"
mandolin,A#maj7,"[2,3,0,5]"
ukulele,A#maj7,"[2,2,1,1]"
baritone_ukulele,Amaj7,"[2,1,2,0]"
guitar,Amaj7,"[0,0,2,1,2,0]"
mandolin,Amaj7,"[2,2,4,4]"
ukulele,Amaj7,"[1,1,0,0]"
baritone_ukulele,Bmaj7,"[1,4,0,2]"
guitar,Bmaj7,"[x,x,1,4,0,2]"
mandolin,Bmaj7,"[4,4,6,6]"
ukulele,Bmaj7,"[3,3,2,2]"
baritone_ukulele,C#maj7,"[3,1,1,1]"
guitar,C#maj7,"[1,4,3,1,1,1]"
mandolin,C#maj7,"[6,6,8,8]"
ukulele,C#maj7,"[1,1,1,3]"
baritone_ukulele,Cmaj7,"[5,4,0,3]"
guitar,Cmaj7,"[x,x,2,4,1,3]"
mandolin,Cmaj7,"[5,5,7,7]"
ukulele,Cmaj7,"[0,0,0,2]"
baritone_ukulele,D#maj7,"[1,3,3,3]"
guitar,D#maj7,"[x,x,1,3,3,3]"
mandolin,D#maj7,"[8,5,5,6]"
ukulele,D#maj7,"[3,3,3,5]"
baritone_ukulele,Dmaj7,"[0,2,2,2]"
guitar,Dmaj7,"[x,x,0,2,2,2]"
mandolin,Dmaj7,"[7,4,4,5]"
ukulele,Dmaj7,"[2,2,2,4]"
baritone_ukulele,Emaj7,"[1,1,0,0]"
guitar,Emaj7,"[0,2,1,1,0,0]"
mandolin,Emaj7,"[9,6,6,7]"
ukulele,Emaj7,"[1,3,0,2]"
baritone_ukulele,F#maj7,"[4,3,2,1]"
guitar,F#maj7,"[x,x,4,3,2,1]"
mandolin,F#maj7,"[6,4,8,6]"
ukulele,F#maj7,"[3,5,2,4]"
baritone_ukulele,Fmaj7,"[3,2,1,0]"
guitar,Fmaj7,"[x,x,3,2,1,0]"
mandolin,Fmaj7,"[5,3,7,5]"
ukulele,Fmaj7,"[2,4,1,3]"
baritone_ukulele,G#maj7,"[1,1,1,3]"
guitar,G#maj7,"[x,3,1,1,1,3]"
mandolin,G#maj7,"[8,6,10,8]"
ukulele,G#maj7,"[1,3,3,3]"
baritone_ukulele,Gmaj7,"[0,0,0,2]"
guitar,Gmaj7,"[x,2,0,0,0,2]"
mandolin,Gmaj7,"[0,0,2,2]"
ukulele,Gmaj7,"[0,2,2,2]"
